OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	N01	N02	N03	N04	N05	N06	N07	N08	N10	N11	N12	N13	N14	N15	N16	taxonomy
9e59cbfb5efd76b113d62d16ffafb2c4	129.0	162.0	147.0	201.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
fa18d4147f6b1476ffed36a9ced2d299	0.0	0.0	0.0	0.0	0.0	521.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
70e000c0965f894efbb3997ebc59217c	0.0	0.0	0.0	0.0	84.0	17.0	16.0	288.0	383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
753999802d4019be718f1370c9691a18	144.0	107.0	132.0	188.0	0.0	0.0	4.0	11.0	16.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
27f4533769da3ca164f9f55cb216d94d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	525.0	203.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	Unassigned
61f2cf79ac43d004accd044695606d80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	67.0	26.0	0.0	0.0	226.0	50.0	0.0	240.0	51.0	72.0	0.0	Unassigned
053200369b0c436efe08fe4ed870383f	0.0	0.0	0.0	0.0	221.0	0.0	0.0	321.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
18b96ce4d6bc8416cb21c40d0004e0d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	617.0	0.0	0.0	Unassigned
c80644a8f7f88cdc41ef3661cbc07917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449.0	0.0	0.0	219.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	Unassigned
4f297517f0846e88e15e58c582de5cae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	Unassigned
0aa4663de19d33cbaec31569d47cf191	32.0	19.0	50.0	48.0	101.0	85.0	231.0	79.0	67.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
